Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE
vert_mnm,H1_H3_P2_NCI_SASA_SCT_PKA_PKB_,xgb,0.9825399951208406,4.495721316537161,0.00995832094224057,64.34829165627744,7.875951345896164
vert_mnm,H1_H3_P2_MASS_SASA_SCT_PKA_PKB_,xgb,0.9838518902939273,4.409130573434652,0.00974023243474384,59.63938898584488,7.562557129350971
vert_mnm,H1_H3_P2_MASS_SASA_SCT_PKA_PKB_,gbr,0.9828788119325422,4.659800130128891,0.010297262827543927,63.563002940696016,7.829537039367362
vert_mnm,H1_H3_V_NCI_MASS_SASA_SCT_PKA_,xgb,0.9830648690440059,4.483505726616982,0.0099375265365837,62.496424389935996,7.722592510498662
vert_mnm,H1_H3_V_NCI_MASS_SASA_SCT_PKA_,gbr,0.9823811973660158,4.702568963361609,0.010407472807906699,65.43996543295363,7.938043358225374
vert_mnm,H1_H3_V_NCI_MASS_SASA_SCT_PKB_,gbr,0.9829081549021652,4.655590081757049,0.010299032110899503,63.62654790418202,7.827854528702185
vert_mnm,H1_H3_V_NCI_MASS_SASA_SCT_PKB_,xgb,0.982857566781987,4.4709852852657965,0.009951319601711498,63.823982761466695,7.808211215097103
vert_mnm,H1_H3_V_NCI_MASS_SASA_PKA_PKB_,xgb,0.982282002011339,4.5198838966955694,0.010030314814145696,65.51690219860572,7.920847926968994
vert_mnm,H1_H3_V_NCI_MASS_SASA_PKA_PKB_,gbr,0.981771252913658,4.730034222631352,0.010482774623697799,67.77867542943811,8.101427700113813
vert_mnm,H1_H3_V_NCI_MASS_SCT_PKA_PKB_,gbr,0.9829177029639744,4.63889453548568,0.01024942343866735,63.53949417496464,7.820548941119094
vert_mnm,H1_H3_V_NCI_MASS_SCT_PKA_PKB_,xgb,0.9823003682188354,4.532461793278614,0.010051585065835167,65.39878123802069,7.940761033508549
vert_mnm,H1_H3_V_NCI_SASA_SCT_PKA_PKB_,gbr,0.9835390789462186,4.615491283051506,0.0102168397499737,61.12245896872666,7.67053589780041
vert_mnm,H1_H3_V_NCI_SASA_SCT_PKA_PKB_,xgb,0.9834268039774363,4.45364676757788,0.009883219915204721,61.3802098761995,7.666309728896134
vert_mnm,H1_H3_V_MASS_SASA_SCT_PKA_PKB_,gbr,0.9829810943743558,4.676207944168492,0.010349616399564322,63.157718350180986,7.807245339494808
vert_mnm,H1_H3_V_MASS_SASA_SCT_PKA_PKB_,xgb,0.9829779753974719,4.469276199836186,0.00991734246043462,62.739635174111754,7.7623731917501315
vert_mnm,H1_H3_NCI_MASS_SASA_SCT_PKA_PKB_,xgb,0.9829655593820735,4.511995330801401,0.01000585726409595,62.98202364431454,7.758714542992712
vert_mnm,H1_H3_NCI_MASS_SASA_SCT_PKA_PKB_,gbr,0.9828782744158671,4.6361558397247205,0.010248031874632564,63.606053537517234,7.833243742296737
vert_mnm,H1_P1_P2_V_NCI_MASS_SASA_SCT_,gbr,0.982205261563833,4.692060008012334,0.010387957652346886,66.39427927886571,7.9845764464119116
vert_mnm,H1_P1_P2_V_NCI_MASS_SASA_SCT_,xgb,0.9809998244677713,4.656199222786087,0.010347207377130383,70.50252926720613,8.246273349053883
vert_mnm,H1_P1_P2_V_NCI_MASS_SASA_PKA_,gbr,0.9820042360911909,4.745700447200999,0.010517289027385895,67.11180433132097,8.04956675157814
vert_mnm,H1_P1_P2_V_NCI_MASS_SASA_PKA_,xgb,0.9815402800937812,4.625994134723288,0.010272628480329182,68.64920057164419,8.131711438662816
vert_mnm,H1_P1_P2_V_NCI_MASS_SASA_PKB_,gbr,0.9822825334221269,4.677236575493429,0.010351062227011286,66.20044572989576,7.97420037623794
vert_mnm,H1_P1_P2_V_NCI_MASS_SASA_PKB_,xgb,0.9807993341828725,4.714338807024188,0.010469899686357934,71.46258662464531,8.286477974702517
vert_mnm,H1_P1_P2_V_NCI_MASS_SCT_PKA_,xgb,0.9823859257175507,4.59458806247576,0.010198384436329734,65.11694697483287,7.959293811415435
