Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE
wt_mnm,H3_P1_V_MASS_PKA_PKB_,xgb,0.9466782093237909,7.320889891664474,0.015428449775026127,163.53033783596874,12.530307158636399
wt_mnm,H3_P1_V_MASS_PKA_PKB_,BayesianRidge,0.9362974405509246,8.836628527797213,0.018737637008210857,191.41921855347826,13.67914807429801
wt_mnm,H3_P1_V_SASA_SCT_PKA_,gbr,0.9502696759799456,8.01267960997346,0.016872391006168292,149.61778757324052,12.09155704367553
wt_mnm,H3_P1_V_SASA_SCT_PKA_,rf,0.9484528413617748,7.515938005817136,0.015959574063967908,153.17586411897182,12.186968879402096
wt_mnm,H3_P1_V_SASA_SCT_PKA_,xgb,0.9439331184171327,7.660074232927906,0.01624146439242775,168.12629978544334,12.769486087976054
wt_mnm,H3_P1_V_SASA_SCT_PKA_,BayesianRidge,0.9222863864856615,9.774118801583912,0.02091888950576043,233.31728398026857,15.135375523732662
wt_mnm,H3_P1_V_SASA_SCT_PKB_,gbr,0.9495147647946437,8.176906155905495,0.01725671987462024,152.4025358035557,12.161075207144604
wt_mnm,H3_P1_V_SASA_SCT_PKB_,rf,0.9474104944263235,7.619131982663154,0.016220069358566038,157.51726740639486,12.32913777190049
wt_mnm,H3_P1_V_SASA_SCT_PKB_,xgb,0.9433161695523273,7.5949906433970185,0.016097348591068757,170.6177523741929,12.780164498006139
wt_mnm,H3_P1_V_SASA_SCT_PKB_,BayesianRidge,0.9261366513855162,9.678893513900492,0.02068229483998259,221.96574983158834,14.763978968235108
wt_mnm,H3_P1_V_SASA_PKA_PKB_,rf,0.9528213038412835,7.288918808441849,0.015418706247570435,142.5737273235086,11.74790328531501
wt_mnm,H3_P1_V_SASA_PKA_PKB_,gbr,0.9507168716023779,7.9689214298438005,0.01680633261853497,149.18250294234332,12.106928792534749
wt_mnm,H3_P1_V_SASA_PKA_PKB_,xgb,0.9482442138198189,7.4044925171322635,0.015625145370151965,158.19956999371627,12.36636858902214
