Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,5,0.8596517937606716,14.08855580276986,0.0309653259560478,459.2913625930207,19.90382578100796
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,5,0.8435315907727614,15.400535262747347,0.03395907013004783,511.13214663739444,21.050374196683386
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,5,0.8189844083336512,13.223463932969027,0.028709474044224626,567.6887521357196,22.601856391304434
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,5,0.8174441444410706,13.361978047174194,0.028988792229236657,483.77928093397855,20.5420336597938
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,5,0.806869745235668,13.134403537107355,0.028569586324742362,597.3924029477687,22.455509142159833
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,5,-4.395299779098027e+17,17453696271.72857,38717354.54644022,1.5182440349251855e+21,26765257240.997055
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,7,0.898079707954466,10.832864618642015,0.02315094348632339,314.7368072094153,16.43369169844951
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,7,0.8947440253553844,11.391785484385895,0.024821406668933507,331.3348809162618,16.930676637142177
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,7,0.8925096445764578,10.83907114877531,0.02302049352560952,335.23197251771694,17.018826285155196
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,7,0.8860053231926248,11.314845460235883,0.024353424072721452,353.70629853991807,17.860237254526798
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,7,0.8729630252265959,11.850228021806908,0.025842568003923674,404.0587059339467,18.59452553438534
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,7,0.851800200634141,14.582179084930207,0.03176138604754503,502.6618499781633,20.538233818575637
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,7,0.8517940830640046,14.581733393563072,0.031760440148815246,502.6881446691875,20.53850350006926
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,7,0.8508418593584871,14.988419703502426,0.03266979169094874,486.39787430623795,20.41795952879287
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,7,0.8293453639357294,13.141878059554612,0.02844685649165287,515.9096566068606,22.076100746002524
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,7,0.8232159047009241,13.191299128133002,0.02810108105468957,465.60132421200035,20.03571755083245
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,7,0.7843071724935522,13.94442081065836,0.03013505347556952,646.6545802607719,24.635656983477997
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,7,-7.72246542791883e+16,8159578703.760879,17477530.018748738,2.078527911388495e+20,11138264866.557796
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,9,0.8890824244112439,11.842247717534736,0.025838623163308493,358.99198907350177,17.820846412959952
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,9,0.8836535771820252,12.128843867101462,0.02634761831350646,374.4848120179784,18.15838233668573
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,9,0.8699519473500854,12.792963018579268,0.028124693835228316,420.64758072364725,19.20346614681398
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,9,0.8626896461811726,12.50535242762719,0.027155145230835384,475.99233991823326,18.882223999479475
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,9,0.8512792448693177,13.456679899297852,0.0295703755579269,463.31051295696767,20.381427101831324
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,9,0.8430870817825193,15.359718325807771,0.033764797765530895,536.7169947131617,21.11947260527109
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,9,0.8430767239298593,15.360063756160224,0.03376544232293235,536.7441209201987,21.120156368631218
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,9,0.8423213857885028,16.146279736768655,0.03538185423243109,527.4354701472191,21.191129473487518
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,9,0.8277498599829713,14.171648189118494,0.030454916661370155,528.6516319122658,22.243107421879223
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,9,0.7984587580528206,15.019943438281985,0.03220759509973969,610.4977957885094,22.88649078856536
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,9,0.7942873677860469,15.114663203301722,0.032504745834385444,624.0582883644221,24.088394184565466
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,9,-1.833392457356967e+17,10666448241.697517,22745830.67899766,6.656239568376078e+20,16223013588.319988
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,11,0.8905356068011664,12.351094862980128,0.02710014540264001,383.46482822192684,18.591201816640364
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,11,0.8850630182004242,12.447358547072406,0.027091653554500838,412.1236131104921,18.704643399668935
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,11,0.8799404479443249,12.726476999451567,0.02743512266411905,430.5815946876106,18.700979070189216
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,11,0.8561741246517401,13.375681103730157,0.029030423565915762,499.7150907737999,21.0430076014468
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,11,0.8539174766602599,15.605504716863921,0.0342210762706978,527.1659514655324,21.243409744923017
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,11,0.8539158667438499,15.60550184282865,0.03422106031300582,527.1710146050868,21.24335216502817
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,11,0.8511298856209047,14.011037311404596,0.030824011736899814,532.355556465727,21.390188743287922
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,11,0.8449251346850472,16.166310594784697,0.03559601986230943,552.2957204563651,21.68829308819081
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,11,0.8025685352810367,15.356473235874306,0.03272285515451004,667.9137040899363,23.322470223755452
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,11,0.7756432284345671,16.33094832656622,0.034926997205545776,798.0670646926808,25.413878373305007
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,11,0.760685940197441,16.820295686769374,0.03565788856698985,845.419393449046,26.35809746845688
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,11,-2.267019381209757e+17,15415873810.2869,34272098.19320888,7.344258131463644e+20,20407987835.873596
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,13,0.8719810393681521,12.998975326789752,0.028872492973882558,422.7010038403808,19.486087803732758
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,13,0.868489847382513,11.795544230638857,0.025631443436056268,467.62187820500316,19.073572605335595
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,13,0.8666779720326869,12.571584747713082,0.027288831839234227,435.2456779852216,19.291312712677033
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,13,0.8368948808455173,15.802922169096558,0.03486273832593995,574.501223683476,21.927817726864074
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,13,0.8368828304755653,15.803898313254848,0.03486493095508945,574.5394889628452,21.92856825131616
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,13,0.8304730996340036,14.079786695668535,0.031172721038752117,544.6965297357116,21.917396783439987
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,13,0.8186346325662652,14.248318804968074,0.03154396998260208,589.5408194167371,22.326829971737663
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,13,0.8133447556114569,16.90215445696267,0.03759154680671457,652.1511071851942,23.390841477474183
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,13,0.7838620591682891,15.796774478984752,0.03415769697504645,696.5138741725807,24.530408920977454
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,13,0.7352450966577471,15.990580539638286,0.0344419795821538,820.5387844986659,25.95646264539376
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,13,0.6821668229631136,17.245686756961266,0.03704428182438913,1023.0247771382576,28.646549920583258
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,13,-4.338611599117929e+17,16874491399.524958,36048321.17400787,1.5022273845383856e+21,22631272152.38604
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,15,0.8794552445800028,12.71702419933724,0.02786651196771364,399.6922188178704,18.74929045656205
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,15,0.8572575007529557,13.106074084548826,0.0286758078619187,454.13728401070273,20.143763796195287
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,15,0.8380766044174023,13.553399855343631,0.029774338090494314,538.8676753662871,20.99588002055003
