Family,Genus,Species,LambdaMax
Nototheniidae,Trematomus,loennbergii,500
Paralichthyidae,Citharichthys,sordidus,489
Percidae,Perca,fluviatilis,540
Percidae,Perca ,flavescens,550
Percidae,Sander,lucioperca,524
Pholidae,Apodichthys,flavidus,504
Pholidae,Pholis,laeta,504
Pholidae,Pholis,omata,498
Pomacentridae,Abudefduf,abdominalis,492
Pomacentridae,Chromis,hanui,477
Pomacentridae,Chromis,ovalis,492
Pomacentridae,Chromis,punctipinnis,498
Pomacentridae,Chromis,vanderbilti,498
Pomacentridae,Chromis,verater,480
Pomacentridae,Dascyllus,albisella,490
Pomacentridae,Dascyllus,trimaculatus,491
Pomacentridae,Plectroglyphidodon,johnstonianus,495
Pomacentridae,Pomacentrus,melanochir,501
Pomacentridae,Stegastes,fasciolatus,495
Ptilichthyidae,Ptilichthys,goodei,497
Serranidae,Centropristis,striata,498
Sparidae,Acanthopagrus,butcheri,509
Sparidae,Diplodus,annularis,505
Sphyraenidae,Sphyraena,barracuda,498
Stichaeidae,Acantholumpenus,mackayi,502
Stichaeidae,Anoplarchus,purpurescens,502
Stichaeidae,Chirolophis,japonicus,502
Stichaeidae,Ernogrammus,hexagrammus,506
Stichaeidae,Lumpenus,sagitta,496
Stichaeidae,Opisthocentrus,ocellatus,504
Stichaeidae,Pholidapus,dybowsky,522
Stichaeidae,Phytichthys ,chirus,522
Stichaeidae,Stichaeopsis,nana,522
Stichaeidae,Stichaeus,grigorjevi,502
Stichaeidae,Stichaeus,nozawae,502
Stichaeidae,Xiphister,mucosus,504
Stichaeidae,Xiphister ,atropurpureus,503
Trichodontidae,Trichodon,trichodon,503
Zanclidae,Zanclus,cornutus,492
Zoarcidae,Lycodes,pacificus,483
Zoarcidae,Zoarces,viviparus,513
Eurypharyngidae,Eurypharynx,pelecanoides,474
Pleuronectidae,Cleisthenes,herzensteini,500
Pleuronectidae,Isopsetta,isolepis,492
Pleuronectidae,Lepidopsetta,bilineata,492
Pleuronectidae,Lepidopsetta,polyxystra,493
Pleuronectidae,Limanda,aspera,503
Pleuronectidae,Limanda,limanda,502
Pleuronectidae,Lyopsetta,exilis,482
Pleuronectidae,Microstomus,kitt,502
Pleuronectidae,Microstomus,pacificus,505
Pleuronectidae,Parophrys,vetulus,498
Pleuronectidae,Platichthys,flesus,510
Pleuronectidae,Platichthys,stellatus,508
Pleuronectidae,Pleuronectes,platessa,515
Pleuronectidae,Psettichthys,melanostictus,497
Pleuronectidae,Pseudopleuronectes,americanus,506
Pleuronectidae,Pseudopleuronectes,herzensteini,500
Pleuronectidae,Pseudopleuronectes,obscurus,525
Scopthalmidae,Lepidorhombus,boscii,489
Salmonidae,Oncorhynchus,gorbuscha,506
